"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10356","Переход между страницами","tests","2026-04-24","passed","2026-04-24","TestNavigation","test_navigation","",""
"","698","Всплывающее окно закрывается кликом по крестику","tests","2026-04-24","passed","2026-04-24","TestConstructor","test_constructor","",""
"","607","При добавлении ингредиента счётчик увеличивается","tests","2026-04-24","passed","2026-04-24","TestConstructor","test_constructor","",""
"","28503","Счётчик ""Выполнено за всё время"" увеличивается","tests","2026-04-24","passed","2026-04-24","TestOrderFeed","test_order_feed","",""
"","75","Переход по клику на ""Лента заказов""","tests","2026-04-24","passed","2026-04-24","TestOrderFeed","test_order_feed","",""
"","13274","Счётчик ""Выполнено за сегодня"" увеличивается","tests","2026-04-24","passed","2026-04-24","TestOrderFeed","test_order_feed","",""
"","100","Клик на ингредиент — открывается всплывающее окно","tests","2026-04-24","passed","2026-04-24","TestConstructor","test_constructor","",""
"","157","Переход по клику на ""Конструктор""","tests","2026-04-24","passed","2026-04-24","TestConstructor","test_constructor","",""
"","6050","Номер заказа появляется в разделе ""В работе""","tests","2026-04-24","passed","2026-04-24","TestOrderFeed","test_order_feed","",""
